feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
CSM5FZ3N_P	240.223	370.092	257.934	373.386	342.242	273.435	268.361	546.857	390.832	381.338	344.609	409.056	203.691	555.926	378.206	313.852	419.124	337.712	372.458	185.541	372.749	435.074
CSM5FZ3R_P	207.585	371.624	207.435	378.537	378.537	224.823	242.526	586.728	404.815	377.463	377.996	446.207	138.835	586.49	407.68	346.453	450.275	363.001	392.927	135.576	390.177	440.258
CSM5FZ3T_P	167.485	356.42	178.801	320.165	312.367	190.4	217.449	573.368	332.726	316.548	317.609	377.778	10.4121	541.789	357.088	262.107	415.199	296.013	344.965	66.5941	367.187	384.889
CSM5FZ3V_P	227.979	414.6	222.449	432.266	420.837	236.226	242.353	801.937	408.629	431.788	423.679	471.492	140.706	497.209	455.394	423.344	484.75	409.442	434.476	182.479	428.539	431.907
CSM5FZ3X_P	176.752	319.312	205.441	291.321	274.431	215.449	226.377	499.271	316.085	305.902	288.031	352.412	155.468	538.542	317.139	255.911	369.021	261.943	302.658	108.279	314.638	333.848
CSM5FZ3Z_P	233.753	396.17	251.616	348.498	325.857	259.988	266.741	722.256	359.004	357.649	334.287	383.383	101.934	548.262	384.943	346.656	432.805	316.104	374.48	103.453	372.487	402.245
CSM5FZ42_P	185.644	376.986	283.159	339.372	326.133	293.22	295.04	497.138	345.994	318.35	318.616	382.417	126.307	615.004	390.885	244.85	431.453	312.582	384.83	126.085	356.342	414.587
CSM5FZ44_P	176.203	391.44	186.64	328.03	327.023	199.764	243.423	577.72	372.254	338.387	331.991	399.309	104.09	569.68	376.681	305.782	448.7	311.338	364.173	71.1083	368.508	398.791
CSM5FZ46_P	213.034	394.364	160.71	338.915	338.915	173.797	202.52	677.797	384.859	373.332	350.583	413.96	106.083	595.303	391.692	341.803	452.177	320.456	377.011	63.4976	381.873	397.794
CSM5FZ4A_P	118.727	342.226	230.57	468.981	400.439	245.481	200.12	579.283	456.117	454.49	413.376	470.92	110.587	490.675	485.987	422.879	496.405	400.756	455.58	130.558	451.776	475.587
CSM5FZ4C_P	247.279	350.784	271.949	363.859	340.9	275.523	258.266	783.47	356.518	389.19	355.175	399.842	148.36	354.543	377.487	359.378	402.373	337.343	357.676	168.715	348.753	386.9
CSM5FZ4E_P	248.646	347.651	277.515	375.957	349.927	280.999	258.854	766.621	378.55	367.363	354.189	393.811	176.236	357.998	397.44	304.2	390.886	349.931	378.058	207.857	407.136	403.557
CSM5FZ4G_P	279.342	379.264	360.845	403.159	363.091	344.131	295.83	784.555	400.338	357.302	353.862	413.004	295.346	476.235	369.085	352.04	397.684	375.789	373.866	232.929	427.253	463.851
CSM5FZ4K_P	286.132	366.574	342.972	428.458	374.379	331.779	286.929	754.048	383.22	355.59	366.223	412.577	272.738	507.005	369.493	345.083	385.847	376.633	371.089	210.492	434.829	425.2
CSM5FZ4M	290.909	475.187	346.989	439.655	392.689	342.809	308.209	1023.87	434.261	406.656	405.818	480.517	195.434	598.452	428.509	388.557	415.042	388.935	417.032	197.394	538.551	472.63
CSM5LLGB_P	144.204	438.145	489.151	463.117	413.805	473.35	404.564	547.436	383.817	368.446	372.413	487.094	35.8431	699.387	385.597	350.556	467.495	426.934	413.428	284.877	448.64	559.342
CSM5MCTZ_P	188.364	333.133	377.931	466.215	416.776	376.728	296.602	627.522	433.652	416.859	414.125	504.995	154.138	633.775	478.893	371.595	453.817	422.258	491.75	218.323	437.339	534.898
CSM5MCU4_P	94.443	302.968	306.465	405.208	367.795	311.639	345.79	663.39	372.785	362.685	362.431	449.35	20.3224	753.968	381.103	189.734	425.803	361.697	371.35	204.652	375.527	455.2
CSM5MCU8_P	215.895	286.671	319.084	355.539	293.781	313.688	243.364	355.886	326.846	306.855	299.25	351.862	185.885	386.409	328.239	293.527	364.685	288.386	321.47	206.974	267.97	389.216
CSM5MCUA_P	165.593	334.103	250.362	449.604	382.68	265.313	241.73	562.276	440.767	434.106	398.922	445.62	117.932	436.695	458.986	407.81	481.136	381.502	432.705	160.181	409.594	444.82
CSM5MCUC_P	199.954	321.321	301.82	459.087	394.438	310.819	219.467	580.459	456.578	422.518	394.299	433.157	179.418	331.886	449.482	401.597	474.674	399.452	425.692	197.895	420.211	459.871
CSM5MCUE_P	176.326	298.528	312.997	410.543	349.488	319.383	287.201	459.109	383.296	386.105	367.825	397.555	108.775	378.188	405.58	350.383	418.878	321.721	352.798	205.794	300.022	427.86
CSM5MCUG_P	114.586	263.331	395.194	503.613	440.548	399.691	347.449	673.89	418.548	426.154	423.784	536.003	130.307	647.263	483.949	364.629	472.4	439.5	480.929	250.404	447.223	588.94
CSM5MCUK_P	129.82	298.498	372.946	502.079	438.742	373.745	349.104	667.602	380.42	389.77	394.579	516.413	231.805	653.849	430.185	356.349	496.364	434.89	439.889	244.846	463.622	565.559
CSM5MCUO	197.387	464.862	456.221	514.927	444.409	450.887	376.02	647.672	433.088	378.267	401.564	547.151	162.973	717.185	459.404	444.256	481.086	452.656	494.269	326.213	468.912	630.005
CSM5MCUQ_P	167.901	254.476	276.416	331.049	297.471	264.392	250.146	466.321	258.819	280.445	280.749	335.725	178.375	417.499	278.363	278.387	357.491	303.328	292.258	183.018	294.005	369.375
CSM5MCUS_P	220.917	266.49	328.47	309.9	274.379	300.557	201.862	454.209	260.319	271.587	261.121	315.536	218.451	399.93	275.427	310.941	288.104	286.046	271.061	215.07	293.858	348.631
CSM5MCUW_P	215.893	271.969	290.645	306.404	267.84	278.293	231.238	453.125	244.696	277.95	265.32	309.649	232.97	408.197	264.289	294.796	311.856	269.531	266.24	193.851	283.298	313.855
CSM5MCUY_P	218.286	276.839	283.308	295.816	253.979	272.383	223.795	447.412	240.188	273.14	256.153	310.594	240.562	405.154	267.508	305.948	297.401	255.777	257.974	191.439	284.284	290.076
CSM5MCV1_P	172.528	216.046	208.232	213.007	194.646	206.161	197.715	338.495	162.579	215.076	193.609	244.079	221.036	388.348	203.793	246.701	201.606	180.361	198.861	170.172	235.943	202.059
CSM5MCV5_P	221.767	343.849	310.693	407.249	336.541	313.153	296.337	488.796	338.831	336.775	323.378	402.917	204.077	531.841	350.736	344.727	401.373	330.187	349.021	170.816	368.629	457.555
CSM5MCVB_P	175.34	243.571	252.84	277.058	244.843	253.293	219.187	397.183	200.143	273.293	249.709	332.736	253.068	510.921	276.814	236.26	264.531	235.14	250.962	167.571	281.412	272.189
CSM5MCVD_P	191.544	328.354	188.309	397.33	376.373	204.651	238.173	570.106	392.058	397.678	384.403	467.114	105.491	639.851	417.772	330.326	446.139	360.994	401.729	119.006	406.407	445.601
CSM5MCVF_P	211.31	378.4	205.92	407.588	388.213	219.066	252.39	657.397	396.746	399.099	388.472	424.46	106.585	452.292	424.999	380.107	450.124	376.546	408.148	153.804	381.863	417.41
CSM5MCVJ_P	169.906	397.502	204.392	338.378	321.994	216.921	242.785	735.248	368.561	354.181	337.314	405.536	51.9051	595.968	390.845	334.075	459.345	309.441	379.03	88.6714	379.759	397.263
CSM5MCVL	235.627	430.871	280.445	378.244	340.851	292.303	295.606	709.061	401.796	379.595	364.025	434.956	117.962	645.322	421.997	355.396	475.674	330.042	407.897	115.34	423.508	434.66
CSM5MCVN	249.623	408.471	281.439	396.865	353.179	292.237	320.151	661.155	411.584	367.83	359.216	421.6	112.612	627.669	418.439	316.644	479.391	345.227	410.34	118.376	409.745	448.399
CSM5MCVV_P	215.796	312.618	264.71	331.249	283.963	268.309	254.396	558.113	288.299	293.539	287.225	337.244	180.495	534.502	317.365	313.919	325.5	275.447	310.126	176.412	326.591	348.866
CSM5MCVZ_P	74.626	148.059	267.221	438.677	416.052	277.796	315.23	849.379	401.975	414.238	412.495	487.68	56.571	872.052	410.939	104.078	469.694	398.427	393.396	142.293	461.871	507.199
CSM5MCW4_P	38.2376	109.836	221.362	366.751	345.389	229.715	214.458	701.774	354.265	338.189	340.27	384.709	7.4506	728.272	360.923	126.349	387.913	335.659	335.864	105.622	371.962	417.532
CSM5MCW6	97.3768	358.235	353.571	481.634	449.201	360.119	397.818	838.788	445.929	430.49	444.627	533.759	27.1419	931.812	455.226	251.343	486.852	443.761	446.205	214.274	431.652	567.07
CSM5MCWA_P	229.565	266.98	295.15	278.274	245.444	289.231	237.669	196.656	230.198	215.207	211.584	318.598	248.938	395.369	235.66	318.792	289.668	249.087	264.647	225.488	277.869	315.293
CSM5MCWC	265.168	301.631	587.568	491.009	455.685	601.446	223.973	830.41	351.998	445.741	451.197	546.752	363.661	702.029	297.523	372.523	480.665	475.59	483.102	151.433	482.803	578.253
CSM5MCWE	348.501	380.451	438.483	388.071	368.068	444.788	313.736	410.608	276.289	276.468	305.259	454.641	397.098	572.289	399.165	403.389	378.971	379.307	421.211	319.705	406.273	435.262
CSM5MCWG	258.511	295.919	225.752	168.895	164.445	231.108	243.003	221.623	129.577	195.203	164.713	248.356	298.925	392.213	234.638	332.499	142.178	156.674	228.113	259.277	330.918	195.068
CSM5MCWI_P	222.364	424.86	250.222	416.633	412.824	266.179	266.1	755.817	457.885	419.286	415.08	483.827	124.707	567.327	463.563	427.205	497.534	396.78	450.784	176.488	450.28	484.065
CSM5MCWK_P	170.025	305.341	290.191	348.86	304.011	289.169	285.611	617.695	298.62	318.227	300.294	354.014	175.076	454.923	314.982	297.829	349.541	301.141	313.505	156.296	318.878	383.372
CSM5MCWM_P	259.69	425.977	312.929	444.24	404.002	318.697	300.774	965.103	446.465	434.144	409.727	487.965	177.747	637.071	425.321	391.227	456.552	397.447	408.801	181.401	470.298	476.903
CSM5MCWQ	285.392	415.893	394.053	444.207	367.966	376.424	306.297	854.556	402.636	369.924	370.643	431.235	283.826	520.719	403.46	392.557	407.268	378.101	413.222	250.289	462.565	468.399
CSM5MCX3	217.834	402.394	435.903	421.206	361.448	429.799	327.711	626.897	387.382	372.564	365.119	470.393	188.745	657.925	439.932	372.455	410.203	370.467	449.726	282.131	443.064	525.205
CSM5MCXB_P	197.428	349.537	345.493	341.485	314.025	338.301	207.621	374.152	319.331	293.654	297.296	362.339	189.206	442.269	283.748	276.155	337.954	325.004	303.7	206.592	334.713	426.277
CSM5MCXD	283.047	405.07	327.713	428.904	368.75	331.067	335.162	554.612	395.544	381.735	370.413	437.081	229.104	627.961	414.332	319.52	437.238	368.64	406.98	202.506	425.355	479.351
CSM5MCXF_P	189.021	297.395	352.272	342.851	304.927	333.135	257.794	541.885	339.996	298.025	299.076	350.551	161.814	455.377	275.344	300.057	342.067	308.296	282.801	188.019	350.23	356.843
CSM5MCXH	217.181	417.762	291.515	467.143	392.872	303.252	227.11	684.461	463.914	424.512	404.094	470.597	156.57	510.881	482.547	410.981	492.151	392.113	446.851	190.013	427.81	470.372
CSM5MCXJ	242.6	364.679	291.573	460.012	356.614	301.608	250.651	638.148	456.563	416.999	384.304	444.912	201.672	449.929	458.341	401.753	473.249	356.873	442.507	194.095	444.156	452.419
CSM5MCXL	240.165	383.875	348.209	480.091	395.173	357.413	307.408	623.569	447.02	436.139	408.42	465.119	243.963	551.098	496.714	419.309	487.913	396.9	457.391	166.835	431.204	480.87
CSM5MCXN	275.011	410.722	504.614	515.433	438.574	459.377	255.635	614.658	444.656	366.415	388.825	476.109	174.467	632.472	358.228	389.38	437.131	464.155	436.324	285.697	442.975	591.851
CSM5MCXP	262.041	391.059	373.897	475.488	386.235	381.646	313.688	561.897	465.807	415.362	400.104	456.818	257.374	536.985	461.143	412.501	470.158	378.322	438.431	220.241	435.738	504.197
CSM5MCXR	268.421	396.261	368.568	473.916	392.809	378.296	310.51	568.074	445.847	434.758	416.027	480.675	263.911	516.752	473.636	434.122	499.44	394.525	464.81	215.521	420.198	485.925
CSM5MCXT	141.33	313.019	295.123	323.574	268.686	283.983	244.272	634.278	313.331	279.146	274.882	311.33	149.275	416.809	298.739	275.966	324.059	272.356	298.746	174.652	331.964	381.953
CSM5MCXV	157.585	360.081	368.902	385.342	299.954	349.893	312.917	648.977	354.093	333.896	315.703	381.692	132.948	560.103	361.219	329.538	381.845	304.764	349.054	214.89	385.871	443.338
CSM5MCXX_P	149.662	264.896	276.623	311.42	278.685	268.652	245.283	519.504	263.628	267.277	269.38	306.862	137.519	409.648	276.39	259.686	297.724	276.071	278.548	157.096	271.931	334.371
CSM5MCXZ_P	120.304	253.887	231.474	267.387	211.425	212.488	184.217	361.606	215.967	202.809	206.644	246.715	150.863	296.86	221.543	219.968	264.494	215.112	217.704	114.528	233.296	291.32
CSM5MCY2	169.059	347.183	355.514	421.169	340.986	337.625	298.53	685.902	324.69	322.681	329.04	395.705	149.266	527.091	352.22	337.214	376.799	331.649	351.533	203.836	357.222	434.563
CSM5MCY4	250.021	408.818	363.241	483.455	427.281	360.297	351.355	784.273	395.858	428.706	427.482	492.777	247.534	570.816	459.117	421.205	502.531	429.994	445.77	191.776	419.375	520.695
CSM5MCY8	224.002	353.248	321.821	425.977	362.938	318.07	305.289	688.483	340.688	363.15	361.62	413.652	217.61	512.581	378.728	353.28	452.178	365.084	367.007	175.617	387.362	462.305
CSM5MCYI_P	122.483	174.219	171.235	173.797	155.056	167.385	117.772	191.783	158.47	142.398	150.039	177.041	107.352	206.031	133.874	156.52	172.381	159.152	146.619	110.619	167.898	207.176
CSM5MCYM_P	235.972	337.794	372.498	333.901	306.056	357.779	249.424	408.209	360.984	288.803	292.053	368.406	236.14	422.571	303.202	339.826	351.214	312.198	323.849	255.489	356.57	417.898
CSM5MCYO_P	177.393	272.948	269.107	284.525	243.562	263.034	185.145	374.434	280.124	219.13	225.381	299.128	145.77	382.849	254.746	279.197	273.091	249.019	269.301	201.7	278.68	347.584
CSM5MCYQ_P	218.517	337.805	356.437	358.276	332.412	349.147	219.851	325.441	324.924	267.873	285.972	360.139	202.048	436.664	292.58	306.404	355.78	338.538	311.45	224.542	332.462	413.051
CSM5MCYS	226.208	365.732	351.85	366.819	306.919	347.116	277.609	827.187	321.268	329.171	319.693	377.735	152.47	500.503	391.333	344.651	352.819	288.727	360.28	221.293	355.776	409.811
CSM5MCYU_P	82.3773	239.474	309.521	315.659	226.119	313.976	92.8381	864.829	332.89	312.445	255.728	428.94	215.963	456.905	358.758	223.841	312.36	161.946	354.109	262.003	270.006	448.095
CSM5MCYW	90.3165	358.325	335.177	441.537	390.205	340.116	401.534	746.668	403.447	399.532	393.408	484.643	101.632	850.954	417.901	233.255	476.89	388.812	383.673	229.533	417.318	526.598
CSM5MCZ3	198.885	314.259	356.659	420.255	362.329	341.164	357.008	621.192	383.235	341.832	345.51	450.627	108.463	673.205	362.357	296.641	442.388	365.417	365.675	317.619	337.101	538.052
CSM5MCZ5	119.005	362.755	408.612	483.138	439.543	411.314	353.855	867.639	474.595	406.171	418.686	528.99	8.58018	737.131	454.201	307.111	532.15	441.964	477.326	263.539	468.995	553.616
CSM5MCZ7	90.3639	241.365	326.87	449.635	399.29	326.796	397.161	782.892	413.799	380.701	387.167	474.564	26.2497	821.877	420.704	193.878	439.476	394.952	398.778	240.706	419.409	529.156
CSM5MCZB	229.787	340.655	370.298	504.878	394.87	371.106	258.398	548.557	452.581	431.495	401.643	469.868	266.349	395.055	442.852	444.669	467.424	402.369	428.33	214.444	437.176	458.346
CSM5MCZD	288.099	407.249	452.432	470.41	401.995	430.43	286.552	608.759	416.715	364.376	377.334	450.406	188.853	565.948	371.813	369.349	433.47	420.819	407.731	278.936	415.736	535.716
CSM5MCZF	289.964	415.443	434.013	469.105	394.964	416.271	290.287	623.539	413.879	373.593	378.006	442.843	242.569	552.104	390.685	383.376	422.45	407.306	400.694	291.58	406.405	529.337
CSM5YRY7_P	291.062	416.861	218.384	385.646	365.744	232.633	196.981	838.498	414.428	402.512	378.472	440.859	97.3769	536.881	431.266	406.425	461.834	355.54	416.286	170.083	403.218	444.111
CSM67U9B	324.812	456.584	480.63	477.917	386.973	457.172	283.567	601.08	410.008	365.648	376.19	466.57	195.205	627.763	380.081	394.293	461.216	395.579	406.303	240.816	458.113	563.442
CSM67U9D	295.475	408.255	464.296	489.171	384.376	433.576	273.627	549.894	417.04	334.707	349.527	455.201	208.745	549.358	376.824	380.917	445.326	399.629	392.617	279.63	428.159	564.538
CSM67U9H_P	82.3961	222.579	223.059	261.39	205.831	238.164	113.78	1071.94	394.827	257.727	221.455	551.209	223.748	552.97	438.002	256.525	289.631	175.775	450.495	214.175	196.139	552.934
CSM67U9H	130.546	310.995	294.973	374.098	279.424	315.384	163.001	1540.29	545.531	382.976	311.425	781.492	296.086	828.999	617.262	316.321	410.961	246.251	619.137	305.036	259.16	773.467
CSM67U9J	284.612	432.663	296.912	447.338	381.393	300.851	308.287	680.663	425.664	422.781	399.318	449.903	197.724	526.789	458.822	399.987	463.298	379.453	436.008	213.454	418.995	438.989
CSM67U9N	174.005	364.243	265.22	330.075	219.014	263.347	230.18	678.298	350.095	299.32	255.896	344.967	188.987	481.53	327.433	281.967	327.655	212.109	336.728	148.299	273.841	295.202
CSM67U9P_P	31.8096	54.8246	45.144	53.1657	46.1822	44.8075	36.3368	66.6121	62.5748	40.7917	41.0354	50.8771	34.0455	54.8248	51.317	45.8369	61.4313	44.7077	52.73	31.1487	46.0827	52.0307
CSM67U9R_P	190.536	375.424	210.255	340.781	297.814	221.872	193.998	596.771	394.823	320.429	312.068	369.755	114.534	419.11	386.039	289.289	386.351	291.34	364.519	132.822	334.119	383.847
CSM67U9T_P	230.788	364.063	262.295	359.679	312.999	269.637	188.576	592.218	370.454	344.115	327.071	373.203	152.287	324.813	397.693	251.678	389.547	307.899	378.212	114.587	384.292	388.713
CSM67U9V_P	161.099	310.232	202.457	300.097	273.249	206.429	235.021	690.02	311.985	276.31	274.161	312.578	96.4993	328.235	295.718	294.486	307.18	273.32	294.618	159.487	296.456	351.492
CSM67U9X_P	118.599	306.234	270.377	364.571	309.461	284.084	275.553	550.858	328.729	324.405	317.638	408.129	108.248	590.355	359.301	291.635	396.005	305.623	343.915	145.834	417.004	392.528
CSM67UA2	232.213	396.038	336.573	464.786	417.501	340.624	338.847	772.765	440.86	435.536	434.556	477.193	146.431	554.613	462.79	381.12	463.412	394.404	427.204	250.868	436.253	509.92
CSM67UAA	333.045	420.301	389.163	313.51	300.012	401.998	294.242	304.442	249.489	248.039	236.182	396.575	354.412	597.061	413.944	406.99	370.678	306.685	418.232	271.963	385.171	384.922
CSM67UAG	329.893	403.37	409.702	383.606	360.138	423.529	230.008	509.65	281.262	202.735	198.106	406.065	315.577	662.203	462.029	328.145	356.245	363.035	474.901	321.198	437.79	451.843
CSM67UAI_P	251.875	294.855	256.166	200.951	195.184	261.003	148.835	348.366	167.762	147.736	145.997	229.056	195.037	436.107	295.32	251.183	214.931	187.472	299.951	267.728	237.642	253.337
CSM67UAK	256.504	416.142	310.12	380.202	315.807	312.42	259.169	591.029	355.892	353.868	336.532	380.876	201.379	487.176	369.888	347.436	397.602	307.342	367.83	160.788	381.931	409.668
CSM67UAM	268.252	501.303	335.259	435.897	377.594	341.561	312.041	702.736	405.618	418.45	401.395	458.628	270.179	615.211	476.761	407.13	477.472	369.441	471.152	163.098	461.229	471.456
CSM67UAO	266.624	448.752	283.141	439.635	393.402	294.383	252.382	712.346	463.473	428.96	407.311	457.553	182.659	441.435	475.871	339.804	490.002	390.424	458.659	122.399	443.196	457.888
CSM67UAQ	224.508	422.77	261.641	411.195	358.879	274.484	217.641	672.797	428.369	381.966	374.888	416.701	131.803	359.623	438.433	294.428	448.45	351.471	420.594	119.846	461.602	433.338
CSM67UAS	308.098	434.383	350.631	413.313	365.504	356.893	283.981	795.792	439.213	391.915	379.011	442.718	277.943	447.369	447.439	372.515	455.448	365.947	442.548	214.709	461.125	449.619
CSM67UAU	229.394	386.732	389.737	470.436	376.057	375.866	342.403	778.067	349.942	321.973	331.309	458.054	155.583	597.959	325.777	384.895	418.603	383.604	359.49	287.484	392.253	540.174
CSM67UAW	234.853	340.835	348.74	438.056	350.856	341.7	335.399	736.454	302.439	322.527	326.397	449.881	100.662	595.828	334.945	363.862	421.967	357.268	344.281	286.65	366.668	486.27
CSM67UAY	214.153	383.038	326.533	436.258	346.253	320.161	321.396	786.254	307.318	336.887	335.525	413.167	176.731	530.535	352.473	379.384	379.022	347.368	364.034	240.732	372.947	472.412
CSM67UB1	234.387	321.694	314.969	411.826	338.828	314.162	351.666	902.245	293.481	353.09	346.822	420.798	144.151	541.455	350.308	358.772	405.72	336.641	347.559	227.465	365.403	480.171
CSM67UB3	210.909	290.777	310.863	429.968	336.991	313.044	345.992	756.516	302.695	320.042	321.66	444.922	51.0577	578.252	336.576	379.688	425.805	329.7	349.786	233.74	336.813	505.638
CSM67UB5_P	126.281	323.447	243.405	370.261	296.379	247.477	227.398	469.389	288.989	322.064	305.879	372.702	151.043	427.249	325.674	337.79	364.474	295.456	301.316	117.437	392.805	352.079
CSM67UB7_P	129.228	311.112	224.528	323.401	293.068	232.412	233.698	485.5	284.909	303.859	293.326	323.564	125.404	430.97	312.832	278.182	341.581	290.574	287.723	90.7722	347.67	347.639
CSM67UB9_P	124.827	298.678	206.261	296.189	294.772	219.098	196.79	603.733	320.492	296.256	296.415	320.08	33.2687	490.021	333.741	248.435	359.233	282.381	317.502	102.603	375.051	346.664
CSM67UB9	114.746	377.208	242.982	360.83	349.543	259.945	225.101	802.411	410.226	363.315	357.374	426.181	53.2673	619.707	407.088	318.516	431.515	335.901	391.971	120.211	474.794	443.705
CSM67UBB	75.7388	495.678	401.449	489.797	398.235	405.708	294.884	715.522	489.57	495.745	445.227	525.9	258.211	607.105	503.051	473.608	542.892	422.066	486.429	221.508	557.978	580.739
CSM67UBF	270.212	385.509	332.028	402.906	363.176	337.417	299.991	659.359	386.441	400.306	373.036	411.394	95.2419	626.958	405.08	264.668	464.131	354.826	383.81	97.0588	387.651	437.073
CSM67UBH	306.89	420.48	352.983	387.912	340.736	356.528	336.958	689.938	394.177	366.743	350.373	416.652	184.035	599.912	421.368	340.13	453.903	337.284	410.879	152.156	437.257	446.934
CSM67UBN	229.356	393.651	312.663	407.739	347.359	323.966	301.004	626.514	442.877	397.471	369.712	462.453	127.091	708.417	458.54	286.609	525.855	340.668	436.775	111.096	460.36	474.636
CSM67UBR	286.457	424.917	300.001	421.965	384.578	312.069	354.263	676.068	413.112	429.123	404.448	468.923	144.535	641.615	407.927	325.724	495.088	376.911	387.338	72.1104	443.95	442.907
CSM67UBX	309.318	427.084	364.699	441.045	379.684	357.982	315.498	954.002	451.74	398.09	390.218	444.797	251.261	567.685	448.963	403.209	413.428	385.622	431.088	208.619	465.315	460.912
CSM67UBZ	287.22	428.527	402.218	513.956	439.121	390.048	350.246	936.709	442.799	434.794	437.845	480.597	285.085	644.264	419.832	393.508	452.243	442.553	423.788	238.157	525.492	517.877
CSM67UC6	299.634	430.285	409.43	487.176	412.935	396.553	366.578	935.784	493.47	427.728	420.276	499.131	296.642	673.82	429.812	404.454	464.021	421.18	421.278	241.984	473.342	514.238
CSM67UCK	201.181	372.928	368.081	438.941	330.599	336.054	300.883	576.675	308.086	335.586	317.181	388.882	220.176	453.642	330.558	322.463	406.356	335.448	350.47	229.178	380.515	420.241
CSM67UCU_P	150.621	308.574	307.569	407.093	372.08	292.156	282.987	563.515	316.988	352.996	364.458	388.06	82.6134	474.358	376.881	314.438	398.33	369.185	375.55	197.811	352.131	412.388
CSM67UDF	206.456	411.975	345.026	481.253	408.005	358.593	291.458	645.732	457.876	448.267	422.756	501.079	244.64	579.576	505.755	429.663	505.952	405.075	478.6	196.627	454.008	503.175
CSM67UDJ	213.46	386.823	297.896	500.456	395.136	312.67	294.172	635.349	461.258	445.544	420.314	484.546	233.87	547.111	493.813	438.266	499.1	396.745	459.008	182.667	447.919	488.813
CSM67UDN	240.213	386.886	327.859	511.17	406.668	340.451	291.012	605.813	462.023	458.115	424.11	488.648	265.276	561.28	491.069	452.009	510.699	410.346	466.589	171.784	462.813	501.272
CSM67UDR_TR	296.772	416.869	487.264	473.821	388.869	467.986	353.595	598.475	449.223	393.083	387.387	497.841	193.604	646.478	446.024	382.135	464.993	401.163	448.014	337.065	453.362	552.844
CSM67UDR	226.076	331.507	473.71	482.508	387.389	459.024	351.93	566.017	466.404	398.728	381.51	505.568	172.988	691.639	446.619	380.892	445.598	405.841	420.247	374.398	451.3	553.419
CSM67UDY	212.071	347.278	309.631	459.287	360.049	317.78	268.582	601.372	437.631	425.038	385.591	442.389	217.853	544.356	453.543	404.537	465.556	366.833	427.228	184.475	434.857	469.595
CSM67UE3	284.793	446.708	410.413	493.851	427.724	405.394	335.475	927.642	443.431	443.489	438.873	470.25	186.931	534.553	471.567	413.329	477.679	425.432	444.08	182.802	427.683	507.139
CSM67UE7	303.605	413.546	432.917	448.875	391.985	416.063	264.346	643.936	420.593	363.432	377.087	433.648	259.161	484.522	367.555	392.522	424.165	398.643	392.045	262.97	440.3	486.05
CSM67UEA	166.401	361.81	375.484	388.066	319.808	350.795	325.61	629.554	325.176	326.498	322.571	406.476	156.895	528.961	357.281	333.337	393.524	323.167	361.216	203.153	365.021	437.615
CSM67UEI	230.783	326.964	330.65	344.191	295.912	319.42	276.953	544.407	288.492	309.563	293.205	340.307	185.321	438.367	348.572	318.805	335.553	290.493	335.73	211.965	298.219	366.625
CSM67UEM	235.032	441.701	385.434	478.89	421.322	385.26	286.251	943.741	444.123	457.348	446.755	457.467	43.6757	468.305	522.473	428.609	467.787	422.972	465.596	117.413	449.891	487.138
CSM67UEP_P	136.304	183.227	191.947	171.949	159.645	183.35	94.3495	183.482	151.71	122.701	133.279	190.041	103.662	228.456	147.635	169.441	175.543	163.548	158.959	102.719	146.998	215.653
CSM67UET_P	125.732	286.151	264.471	256.067	228.928	261.356	106.783	241.368	255.911	240.698	230.062	292.047	140.576	361.483	197.224	246.727	274.463	231.323	229.561	167.75	246.394	331.281
CSM67UEW_P	163.066	237.626	354.845	325.926	285.694	307.66	162.36	362.224	283.575	185.022	207.659	312.854	146.997	404.264	236.377	225.845	260.525	300.965	317.709	114.138	316.47	399.397
CSM67UEW_TR	265.728	410.892	549.035	543.172	482.273	484.68	288.071	602.431	453.114	275.699	311.667	512.505	213.843	636.593	373.406	370.684	406.412	469.215	506.573	222.679	498.005	643.828
CSM67UEW	281.287	425.352	550.764	515.679	446.314	495.61	262.055	628.444	434.189	307.448	337.292	512.862	205.251	668.304	404.027	399.302	427.342	472.528	509.842	226.79	492.807	657.538
